Stiffness_N_m,Damping_Ns_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m,Max_Dynamic_Tire_Force_N
12000,3000,3.10035201405153,0.0710927066187517,0.0326073603597586,6195.39846835413
13000,3000,3.11725846369505,0.0718264788824792,0.0325951245285565,6193.07366042573
14000,3000,3.13535214059705,0.0725313448106397,0.0325890438682257,6191.91833496288
15000,3000,3.15463201385901,0.0732086311791979,0.0325953972564907,6193.12547873323
16000,3000,3.17509546660347,0.0738587582071079,0.0326073228785194,6195.39134691869
17000,3000,3.19673836118007,0.0744818136714895,0.0326317166519873,6200.02616387759
18000,3000,3.21955508079801,0.0750783612421641,0.0326614484058901,6205.67519711913
19000,3000,3.24353855189934,0.0756491346090935,0.0327036249954577,6213.68874913696
20000,3000,3.26868025323521,0.0761956476518897,0.0327510215874309,6222.69410161188
21000,3000,3.29497021897304,0.0767188392254122,0.0328104493363907,6233.98537391424
22000,3000,3.32239704444747,0.0772188073864348,0.0328750594736909,6246.26130000127
23000,3000,3.35094790410787,0.0776961825216736,0.0329512622529884,6260.7398280678
24000,3000,3.38060859134133,0.0781515787622591,0.033032642827823,6276.20213728636
25000,3000,3.41136358878768,0.0785882200498969,0.0331251310039547,6293.7748907514
10000,3250,3.27658700008297,0.0693732297351347,0.0348860972062866,6628.35846919446
11000,3250,3.28982561704338,0.0700952920691155,0.0348625661499888,6623.88756849788
12000,3250,3.30411927993273,0.0707893184744105,0.0348483587255166,6621.18815784816
13000,3250,3.31947072499155,0.0714567596888791,0.0348426300026872,6620.09970051057
14000,3250,3.33588128875579,0.0720981793873524,0.0348431262213253,6620.1939820518
15000,3250,3.35335097739949,0.072714207601509,0.0348548368628086,6622.41900393364
16000,3250,3.37187852615832,0.0733057177524006,0.0348706678929692,6625.42689966416
17000,3250,3.39146144650207,0.0738732346525892,0.0348986252394131,6630.73879548849
18000,3250,3.41209606140894,0.0744171234461342,0.0349312236877997,6636.93250068195
19000,3250,3.43377753096321,0.0749379404191992,0.0349734251688442,6644.9507820804
20000,3250,3.45649987169217,0.0754363111984549,0.0350224892990746,6654.27296682417
21000,3250,3.48025597379514,0.0759133168770038,0.0350786965579285,6664.95234600642
22000,3250,3.50503762084441,0.0763693515840274,0.0351437787370346,6677.31796003658
23000,3250,3.53083551667775,0.0768048794088266,0.0352136526667283,6690.59400667838
24000,3250,3.55763932397937,0.0772232983355536,0.0352943290745089,6705.92252415669
25000,3250,3.58543771837054,0.0776232225588874,0.0353782195510741,6721.86171470408
10000,3500,3.4792265484988,0.0691198108711074,0.0370200026456591,7033.80050267524
11000,3500,3.49136978764865,0.0697779922049088,0.0370038192849465,7030.72566413984
12000,3500,3.50446039462382,0.0704113621655422,0.0369972671008843,7029.48074916802
13000,3500,3.51850110064847,0.0710204846097151,0.0369978025545285,7029.58248536041
14000,3500,3.53349353811422,0.0716059080267536,0.037002693087942,7030.51168670898
15000,3500,3.54943828403839,0.0721683992538041,0.037019579357724,7033.72007796756
16000,3500,3.56633489989244,0.0727084769372776,0.0370402734202493,7037.65194984737
17000,3500,3.58418196588774,0.0732267721232524,0.0370687197915783,7043.05676039988
18000,3500,3.60297710944076,0.0737238416180589,0.0371052123245803,7049.99034167026
19000,3500,3.62271702876088,0.0742001090263675,0.0371452179836099,7057.59141688588
20000,3500,3.64339751332004,0.0746560801572302,0.0371966488702848,7067.36328535412
21000,3500,3.66501346344003,0.0750922854231457,0.0372519502473909,7077.87054700427
22000,3500,3.68755891144322,0.075509460507621,0.0373140364978591,7089.66693459323
23000,3500,3.71102704680491,0.0759096777960306,0.0373842495231887,7103.00740940586
24000,3500,3.73541024753488,0.0762936492584575,0.0374575342587103,7116.93150915496
25000,3500,3.7607001196016,0.0766600293987725,0.0375414423837763,7132.87405291751
10000,3750,3.67802643488601,0.0687889376315266,0.0390695305378505,7423.2108021916
11000,3750,3.68923258082182,0.0693909248492606,0.039060314223489,7421.45970246292
12000,3750,3.70129529167967,0.0699703612045273,0.0390588571524807,7421.18285897133
13000,3750,3.71421714804758,0.0705278078610751,0.0390653272259537,7422.41217293119
14000,3750,3.72799986202496,0.0710638398828899,0.0390754820319917,7424.34158607843
15000,3750,3.74264430499678,0.0715789165094983,0.0390941233405371,7427.88343470205
16000,3750,3.75815053469811,0.0720736235482861,0.0391194939135659,7432.70384357751
17000,3750,3.7745178200932,0.0725484615883334,0.039148286847599,7438.17450104382
18000,3750,3.79174466357144,0.0730039288487858,0.0391865876497541,7445.45165345327
19000,3750,3.80982882073758,0.073440538438138,0.0392301044141315,7453.71983868498
20000,3750,3.82876731861731,0.0738587093772124,0.0392767887762429,7462.58986748614
21000,3750,3.84855647342871,0.0742588907601447,0.0393342325820336,7473.50419058639
22000,3750,3.86919190921583,0.0746415395200408,0.0393951686909136,7485.08205127358
23000,3750,3.89066857863653,0.0750102113773873,0.0394601543659456,7497.42932952967
24000,3750,3.9129807870667,0.0753628849151294,0.0395350051250166,7511.65097375316
25000,3750,3.93612222094575,0.075699465155621,0.0396126214128903,7526.39806844916
10000,4000,3.873043630864,0.0683928561596491,0.0410385643347359,7797.32722359983
11000,4000,3.88343907306489,0.0689449917257419,0.0410359129736643,7796.82346499621
12000,4000,3.89461373266062,0.0694766045934291,0.04103691807439,7797.0144341341
13000,4000,3.90656997755505,0.0699881933217356,0.0410490280452558,7799.31532859859
14000,4000,3.9193094835488,0.0704802449657597,0.041064527016054,7802.26013305027
